"ACCREDAGENCY","LOCALE","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","HCM2","CONTROL"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X11","X14","X5","X15","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X32","X7","X2","X2","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Transnational.Association.of.Christian.Colleges.and.Schools","X11","X24","X10","X6","X0","X0","X0","X0","X1","X0","X0","X0","X0","X0","X2"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X21","X17","X13","X14","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Accrediting.Commission.of.Career.Schools.and.Colleges","X12","X26","X11","X9","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X42","X7","X2","X4","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X17","X11","X9","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Western.Association.of.Schools.and.Colleges.Accrediting.Commission.for.Community.and.Junior.Colleges","X22","X1","X1","X4","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X18","X13","X13","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X2"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X30","X13","X10","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X31","X0","X18","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X12","X15","X14","X11","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X2"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X12","X18","X13","X13","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X2"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X23","X18","X14","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X17","X5","X9","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X3"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X18","X13","X12","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X23","X18","X13","X12","X0","X0","X0","X0","X1","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X12","X18","X11","X15","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X21","X18","X13","X15","X0","X0","X0","X0","X1","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X13","X18","X13","X15","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X13","X18","X9","X15","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X17","X11","X15","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X21","X18","X13","X15","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X12","X18","X13","X15","X0","X0","X0","X0","X1","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X18","X13","X15","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X18","X11","X15","X0","X0","X0","X0","X1","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X18","X11","X15","X0","X0","X0","X0","X0","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X18","X11","X15","X0","X0","X0","X0","X1","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X12","X15","X15","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X23","X15","X15","X15","X0","X0","X0","X0","X1","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X15","X15","X16","X0","X0","X0","X0","X1","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X15","X15","X17","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X15","X15","X16","X0","X0","X0","X0","X1","X1","X0","X0","X0","X0","X1"
"Western.Association.of.Schools.and.Colleges.Senior.Colleges.and.University.Commission","X11","X15","X15","X16","X0","X0","X0","X0","X0","X0","X0","X0","X0","X0","X1"
